epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,240.364,1.36315,0.92969,1.29343,0.93664,0.90209,0.95816,0.6099,1.27911,0.75263,1.272,0.00110314,0.00110314,0.00110314
43,245.667,1.30801,0.89356,1.27368,0.95579,0.92604,0.97608,0.65854,1.15724,0.65854,1.21026,0.00108938,0.00108938,0.00108938
44,251.409,1.29136,0.84475,1.22355,0.97741,0.93825,0.97983,0.6532,1.13186,0.64142,1.19191,0.00107563,0.00107563,0.00107563
45,256.712,1.32375,0.85051,1.25909,0.96775,0.93065,0.97193,0.63315,1.16651,0.65666,1.20169,0.00106188,0.00106188,0.00106188
46,262.015,1.24502,0.81598,1.20543,0.97255,0.93394,0.96767,0.65452,1.16209,0.63407,1.19422,0.00104813,0.00104813,0.00104813
47,267.444,1.19887,0.81364,1.18112,0.98708,0.92822,0.98434,0.67108,1.17116,0.59253,1.19625,0.00103437,0.00103437,0.00103437
48,273.171,1.2264,0.76821,1.19322,0.97373,0.91718,0.97447,0.65845,1.14482,0.61028,1.19158,0.00102062,0.00102062,0.00102062
49,278.464,1.29559,0.82221,1.20349,0.99076,0.92073,0.97202,0.62299,1.24191,0.63222,1.23283,0.00100687,0.00100687,0.00100687
50,283.771,1.44748,0.9488,1.29233,0.96894,0.93901,0.97843,0.64524,1.17605,0.62223,1.19444,0.000993115,0.000993115,0.000993115
51,289.069,1.29906,0.81816,1.19034,0.97474,0.93656,0.979,0.67602,1.06666,0.61275,1.1524,0.000979362,0.000979362,0.000979362
52,294.814,1.281,0.82217,1.23833,0.97292,0.96281,0.99074,0.69772,1.05008,0.57987,1.13378,0.00096561,0.00096561,0.00096561
53,300.525,1.17028,0.77615,1.1813,0.96646,0.9703,0.99095,0.69198,1.07671,0.57339,1.14351,0.000951857,0.000951857,0.000951857
54,305.875,1.20584,0.75114,1.15669,0.98688,0.96019,0.98826,0.6851,1.08857,0.55839,1.1577,0.000938104,0.000938104,0.000938104
55,311.165,1.25248,0.76013,1.2154,0.97631,0.95541,0.98918,0.71196,1.04232,0.54117,1.12875,0.000924352,0.000924352,0.000924352
56,316.911,1.20024,0.73566,1.17256,0.96809,0.94056,0.98342,0.7032,1.04769,0.56222,1.12942,0.000910599,0.000910599,0.000910599
57,322.218,1.18888,0.77454,1.19372,0.96685,0.95395,0.98447,0.70527,1.03461,0.55966,1.10948,0.000896846,0.000896846,0.000896846
58,327.533,1.26356,0.76111,1.216,0.96612,0.95528,0.98687,0.68777,1.0465,0.56833,1.12346,0.000883093,0.000883093,0.000883093
59,332.822,1.29196,0.83776,1.23162,0.97487,0.96132,0.99033,0.71265,1.00361,0.53246,1.10771,0.00086934,0.00086934,0.00086934
60,338.544,1.16222,0.74431,1.16887,0.98672,0.97881,0.9934,0.72934,0.92824,0.49432,1.07618,0.000855588,0.000855588,0.000855588
61,344.275,1.20601,0.70982,1.16179,0.98629,0.96535,0.99265,0.7322,0.92409,0.49526,1.06355,0.000841835,0.000841835,0.000841835
62,350.039,1.12706,0.69264,1.16164,0.99908,0.97376,0.99102,0.75065,0.90199,0.4962,1.05669,0.000828082,0.000828082,0.000828082
63,355.778,1.05534,0.65978,1.1056,0.98651,0.97458,0.99094,0.73397,0.95919,0.49069,1.08365,0.000814329,0.000814329,0.000814329
64,361.084,1.10528,0.72724,1.12232,0.97431,0.95722,0.99155,0.75143,0.92313,0.48078,1.07375,0.000800577,0.000800577,0.000800577
65,366.801,1.11857,0.73279,1.16398,0.97597,0.9827,0.99346,0.74816,0.88779,0.48674,1.0413,0.000786824,0.000786824,0.000786824
66,372.111,1.125,0.7044,1.1499,0.99673,0.96535,0.99403,0.7299,0.93924,0.4898,1.05882,0.000773071,0.000773071,0.000773071
67,377.412,1.14379,0.73293,1.11029,0.97364,0.96331,0.992,0.73599,0.93975,0.49229,1.07084,0.000759318,0.000759318,0.000759318
68,382.705,1.09957,0.67624,1.13239,0.98656,0.97664,0.99341,0.71574,0.9961,0.50828,1.08512,0.000745566,0.000745566,0.000745566
69,388.011,1.17793,0.73122,1.20012,0.98916,0.97194,0.99405,0.76173,0.8917,0.50361,1.04096,0.000731813,0.000731813,0.000731813
70,393.755,1.11639,0.71047,1.09997,0.99034,0.99217,0.99497,0.75411,0.91387,0.4785,1.04981,0.00071806,0.00071806,0.00071806
71,399.088,1.09213,0.69795,1.12469,0.99488,0.98383,0.99471,0.76041,0.88875,0.45034,1.044,0.000704307,0.000704307,0.000704307
72,404.405,1.15641,0.85257,1.17381,0.99601,0.98901,0.99495,0.77116,0.8385,0.43611,1.01575,0.000690555,0.000690555,0.000690555
73,410.13,1.13367,0.7353,1.14904,0.98992,0.99699,0.9949,0.78513,0.79934,0.42791,0.99707,0.000676802,0.000676802,0.000676802
74,415.882,1.04218,0.63019,1.07271,0.99162,0.97525,0.99408,0.77303,0.83702,0.44582,1.01142,0.000663049,0.000663049,0.000663049
75,421.18,0.99755,0.65821,1.06318,0.98006,0.97259,0.99324,0.79048,0.78126,0.42892,0.99809,0.000649297,0.000649297,0.000649297
76,426.898,1.04183,0.64864,1.11447,0.98347,0.9901,0.99441,0.79583,0.79399,0.42539,0.99948,0.000635544,0.000635544,0.000635544
77,432.651,1.06354,0.67441,1.12287,0.98293,0.99912,0.9948,0.79465,0.77944,0.43237,1.0043,0.000621791,0.000621791,0.000621791
78,437.952,1.03805,0.63345,1.06323,0.98551,0.99721,0.99415,0.79553,0.7539,0.4321,0.98252,0.000608038,0.000608038,0.000608038
79,443.24,0.9817,0.5731,1.06187,0.98359,0.99833,0.99456,0.77038,0.81186,0.43092,1.00463,0.000594286,0.000594286,0.000594286
80,448.537,0.89117,0.88556,0.95651,0.99214,0.98515,0.99437,0.77462,0.82363,0.42399,1.01064,0.000580533,0.000580533,0.000580533
81,453.824,0.99306,0.60623,1.06727,0.97921,0.9802,0.99331,0.77378,0.81213,0.43283,1.01674,0.00056678,0.00056678,0.00056678
82,459.138,1.17543,0.65417,1.26919,0.99173,0.9703,0.99412,0.79107,0.77765,0.42257,0.98727,0.000553027,0.000553027,0.000553027
83,464.42,1.00278,0.62165,1.07098,0.99159,0.96711,0.99379,0.79991,0.75774,0.40435,0.98105,0.000539275,0.000539275,0.000539275
84,470.159,0.92352,0.61817,1.0481,0.99426,0.98509,0.99439,0.81426,0.76055,0.40559,0.97757,0.000525522,0.000525522,0.000525522
85,475.872,1.01595,0.62549,1.08374,0.99731,0.97905,0.99398,0.80233,0.78535,0.40495,0.98404,0.000511769,0.000511769,0.000511769
86,481.196,0.94371,0.59918,1.07202,0.99814,0.96535,0.99403,0.81159,0.75883,0.40944,0.97932,0.000498016,0.000498016,0.000498016
87,486.569,0.97961,0.61806,1.08776,0.98611,0.98515,0.99429,0.80975,0.74156,0.40806,0.9677,0.000484263,0.000484263,0.000484263
88,491.888,0.93405,0.62885,1.07601,0.99646,0.97525,0.99437,0.80233,0.76276,0.40425,0.97039,0.000470511,0.000470511,0.000470511
89,497.194,0.97539,0.62903,1.05922,0.99663,0.98515,0.99471,0.80028,0.75368,0.39942,0.97026,0.000456758,0.000456758,0.000456758
90,502.517,0.88713,0.55946,1.02567,0.99243,0.99672,0.9949,0.81753,0.72304,0.39417,0.95662,0.000443005,0.000443005,0.000443005
91,508.236,0.9746,0.56719,1.05711,0.98932,0.99222,0.9949,0.8147,0.73224,0.39056,0.95956,0.000429253,0.000429253,0.000429253
